Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
12,Sun,10/11/2019,18:00 (17:00),Parma,1.4,2â€“0,0.6,Roma,"18,532",Stadio Ennio Tardini,Michael Fabbri
12,Sun,10/11/2019,20:45 (19:45),Juventus,1.2,1â€“0,0.6,Milan,"40,478",Allianz Stadium,Fabio Maresca
13,Sat,23/11/2019,15:00 (14:00),Atalanta,2.4,1â€“3,1.2,Juventus,"20,899",Stadio Atleti Azzurri d'Italia,Gianluca Rocchi
13,Sat,23/11/2019,18:00 (17:00),Milan,0.8,1â€“1,0.9,Napoli,"61,658",Stadio Giuseppe Meazza,Daniele Orsato
13,Sat,23/11/2019,20:45 (19:45),Torino,0.5,0â€“3,1.6,Inter,"26,059",Stadio Olimpico di Torino,Fabio Maresca
13,Sun,24/11/2019,12:30 (11:30),Bologna,0.7,2â€“2,1.3,Parma,"21,419",Stadio Renato Dall'Ara,Rosario Abisso
13,Sun,24/11/2019,15:00 (14:00),Hellas Verona,2,1â€“0,1,Fiorentina,"22,581",Stadio Marc'Antonio Bentegodi,Antonio Giua
13,Sun,24/11/2019,15:00 (14:00),Sassuolo,1.1,1â€“2,1.2,Lazio,"10,000",Stadio Città del Tricolore,Daniele Chiffi
13,Sun,24/11/2019,15:00 (14:00),Roma,2.5,3â€“0,0.4,Brescia,"33,695",Stadio Olimpico,Marco Di Bello
13,Sun,24/11/2019,18:00 (17:00),Sampdoria,2.1,2â€“1,0.5,Udinese,"17,031",Stadio Comunale Luigi Ferraris,Luca Pairetto
13,Mon,25/11/2019,15:00 (14:00),Lecce,2.9,2â€“2,0.9,Cagliari,"21,435",Stadio Comunale Via Del Mare,Maurizio Mariani
13,Mon,25/11/2019,20:45 (19:45),SPAL,2.2,1â€“1,1.4,Genoa,"12,423",Stadio Paolo Mazza,Piero Giacomelli
14,Sat,30/11/2019,15:00 (14:00),Brescia,1.1,0â€“3,2.5,Atalanta,"14,000",Stadio Mario Rigamonti,Daniele Doveri
14,Sat,30/11/2019,18:00 (17:00),Genoa,0.8,0â€“1,0.9,Torino,"20,000",Stadio Comunale Luigi Ferraris,Davide Massa
14,Sat,30/11/2019,20:45 (19:45),Fiorentina,1.9,0â€“1,1.3,Lecce,"33,912",Stadio Artemio Franchi,Marco Piccinini
14,Sun,01/12/2019,12:30 (11:30),Juventus,4.5,2â€“2,0.5,Sassuolo,"40,597",Allianz Stadium,Federico La Penna
14,Sun,01/12/2019,15:00 (14:00),Lazio,2.8,3â€“0,0.8,Udinese,"20,000",Stadio Olimpico,Marco Di Bello
14,Sun,01/12/2019,15:00 (14:00),Parma,0.3,0â€“1,1.8,Milan,"18,431",Stadio Ennio Tardini,Paolo Valeri
14,Sun,01/12/2019,15:00 (14:00),Inter,1.6,2â€“1,1.1,SPAL,"61,221",Stadio Giuseppe Meazza,Massimiliano Irrati
14,Sun,01/12/2019,18:00 (17:00),Napoli,2.2,1â€“2,1.1,Bologna,"26,012",Stadio San Paolo,Fabrizio Pasqua
14,Sun,01/12/2019,20:45 (19:45),Hellas Verona,1,1â€“3,1.8,Roma,"17,405",Stadio Marc'Antonio Bentegodi,Marco Guida
14,Mon,02/12/2019,20:45 (19:45),Cagliari,0.7,4â€“3,1.5,Sampdoria,"15,658",Sardegna Arena,Gianluca Aureliano
15,Fri,06/12/2019,20:45 (19:45),Inter,1.5,0â€“0,0.3,Roma,"67,008",Stadio Giuseppe Meazza,Giampaolo Calvarese
15,Sat,07/12/2019,15:00 (14:00),Atalanta,2.4,3â€“2,1.1,Hellas Verona,"19,335",Stadio Atleti Azzurri d'Italia,Paolo Valeri
15,Sat,07/12/2019,18:00 (17:00),Udinese,0.6,1â€“1,1.2,Napoli,"20,405",Dacia Arena,Maurizio Mariani
15,Sat,07/12/2019,20:45 (19:45),Lazio,2.4,3â€“1,1.8,Juventus,"65,000",Stadio Olimpico,Michael Fabbri
15,Sun,08/12/2019,12:30 (11:30),Lecce,1,2â€“2,2,Genoa,"21,740",Stadio Comunale Via Del Mare,Gianluca Rocchi
15,Sun,08/12/2019,15:00 (14:00),SPAL,1.9,0â€“1,1.5,Brescia,"12,442",Stadio Paolo Mazza,Daniele Orsato
15,Sun,08/12/2019,15:00 (14:00),Sassuolo,1.9,2â€“2,0.5,Cagliari,"12,666",Stadio Città del Tricolore,Luca Pairetto
15,Sun,08/12/2019,15:00 (14:00),Torino,0.7,2â€“1,1.7,Fiorentina,"19,955",Stadio Olimpico di Torino,Piero Giacomelli
15,Sun,08/12/2019,18:00 (17:00),Sampdoria,1.8,0â€“1,0.7,Parma,"19,516",Stadio Comunale Luigi Ferraris,Rosario Abisso
15,Sun,08/12/2019,20:45 (19:45),Bologna,1.5,2â€“3,2.1,Milan,"23,707",Stadio Renato Dall'Ara,Daniele Chiffi
16,Sat,14/12/2019,15:00 (14:00),Brescia,3.6,3â€“0,0.7,Lecce,"13,131",Stadio Mario Rigamonti,Massimiliano Irrati
16,Sat,14/12/2019,18:30 (17:30),Napoli,2.7,1â€“2,1.5,Parma,"25,000",Stadio San Paolo,Marco Di Bello
16,Sat,14/12/2019,20:45 (19:45),Genoa,0.5,0â€“1,0.6,Sampdoria,"30,658",Stadio Comunale Luigi Ferraris,Daniele Doveri
16,Sun,15/12/2019,12:30 (11:30),Hellas Verona,2,3â€“3,1.3,Torino,"14,612",Stadio Marc'Antonio Bentegodi,Federico La Penna
16,Sun,15/12/2019,15:00 (14:00),Bologna,1.2,2â€“1,1.9,Atalanta,"21,277",Stadio Renato Dall'Ara,Davide Massa
16,Sun,15/12/2019,15:00 (14:00),Milan,2.1,0â€“0,0.9,Sassuolo,"58,005",Stadio Giuseppe Meazza,Gianluca Manganiello
16,Sun,15/12/2019,15:00 (14:00),Juventus,1.8,3â€“1,1.2,Udinese,"39,127",Allianz Stadium,Fabrizio Pasqua
16,Sun,15/12/2019,18:00 (17:00),Roma,3.1,3â€“1,1.1,SPAL,"34,761",Stadio Olimpico,Antonio Giua
16,Sun,15/12/2019,20:45 (19:45),Fiorentina,0.7,1â€“1,0.6,Inter,"37,537",Stadio Artemio Franchi,Maurizio Mariani
16,Mon,16/12/2019,20:45 (19:45),Cagliari,1.5,1â€“2,1.3,Lazio,"16,299",Sardegna Arena,Fabio Maresca
17,Wed,18/12/2019,18:55 (17:55),Sampdoria,0.7,1â€“2,0.9,Juventus,"23,136",Stadio Comunale Luigi Ferraris,Gianluca Rocchi
7,Wed,18/12/2019,20:45 (19:45),Brescia,1.8,0â€“2,0.4,Sassuolo,"14,574",Stadio Mario Rigamonti,Marco Di Bello
17,Fri,20/12/2019,20:45 (19:45),Fiorentina,1.7,1â€“4,1.3,Roma,"3,305",Stadio Artemio Franchi,Daniele Orsato
17,Sat,21/12/2019,15:00 (14:00),Udinese,1.4,2â€“1,0.9,Cagliari,"19,822",Dacia Arena,Marco Piccinini
17,Sat,21/12/2019,18:00 (17:00),Inter,2.4,4â€“0,0.6,Genoa,"57,490",Stadio Giuseppe Meazza,Luca Pairetto
17,Sat,21/12/2019,20:45 (19:45),Torino,1,1â€“2,1.1,SPAL,"18,553",Stadio Olimpico di Torino,Michael Fabbri
17,Sun,22/12/2019,12:30 (11:30),Atalanta,2.8,5â€“0,0.3,Milan,"20,940",Stadio Atleti Azzurri d'Italia,Federico La Penna
17,Sun,22/12/2019,15:00 (14:00),Lecce,1,2â€“3,3.4,Bologna,"24,178",Stadio Comunale Via Del Mare,Rosario Abisso
17,Sun,22/12/2019,15:00 (14:00),Parma,1.4,1â€“1,2.3,Brescia,"16,686",Stadio Ennio Tardini,Francesco Fourneau
17,Sun,22/12/2019,20:45 (19:45),Sassuolo,1.3,1â€“2,1.4,Napoli,"12,570",Stadio Città del Tricolore,Daniele Chiffi
18,Sun,05/01/2020,12:30 (11:30),Brescia,0.4,1â€“2,1.9,Lazio,"14,370",Stadio Mario Rigamonti,Gianluca Manganiello
18,Sun,05/01/2020,15:00 (14:00),SPAL,1.4,0â€“2,2.1,Hellas Verona,"14,078",Stadio Paolo Mazza,Marco Guida
18,Sun,05/01/2020,18:00 (17:00),Genoa,3.2,2â€“1,0.7,Sassuolo,"21,033",Stadio Comunale Luigi Ferraris,Massimiliano Irrati
18,Sun,05/01/2020,20:45 (19:45),Roma,2.1,0â€“2,1.9,Torino,"38,954",Stadio Olimpico,Marco Di Bello
18,Mon,06/01/2020,12:30 (11:30),Bologna,0.9,1â€“1,0.6,Fiorentina,"22,653",Stadio Renato Dall'Ara,Paolo Valeri
18,Mon,06/01/2020,15:00 (14:00),Milan,1.3,0â€“0,1.2,Sampdoria,"58,572",Stadio Giuseppe Meazza,Davide Massa
18,Mon,06/01/2020,15:00 (14:00),Juventus,2.7,4â€“0,0.8,Cagliari,"40,598",Allianz Stadium,Piero Giacomelli
18,Mon,06/01/2020,15:00 (14:00),Atalanta,1.8,5â€“0,0.1,Parma,"19,213",Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua
18,Mon,06/01/2020,18:00 (17:00),Lecce,0.6,0â€“1,0.6,Udinese,"21,321",Stadio Comunale Via Del Mare,Antonio Giua
18,Mon,06/01/2020,20:45 (19:45),Napoli,1.9,1â€“3,1.3,Inter,"31,191",Stadio San Paolo,Daniele Doveri
19,Sat,11/01/2020,15:00 (14:00),Cagliari,0.7,0â€“2,1.2,Milan,"16,412",Sardegna Arena,Rosario Abisso
19,Sat,11/01/2020,18:00 (17:00),Lazio,0.9,1â€“0,0.5,Napoli,"40,000",Stadio Olimpico,Daniele Orsato
19,Sat,11/01/2020,20:45 (19:45),Inter,0.5,1â€“1,2.3,Atalanta,"70,042",Stadio Giuseppe Meazza,Gianluca Rocchi
19,Sun,12/01/2020,12:30 (11:30),Udinese,1.7,3â€“0,1,Sassuolo,"21,731",Dacia Arena,Manuel Volpi
19,Sun,12/01/2020,15:00 (14:00),Fiorentina,1.6,1â€“0,1.1,SPAL,"33,970",Stadio Artemio Franchi,Daniele Doveri
19,Sun,12/01/2020,15:00 (14:00),Torino,0.5,1â€“0,1.7,Bologna,"15,000",Stadio Olimpico di Torino,Marco Piccinini
19,Sun,12/01/2020,15:00 (14:00),Sampdoria,3.3,5â€“1,0.9,Brescia,"20,117",Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
