Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
14,Sun,13/12/2020,17:00 (16:00),Lille,1.3,2â€“1,0.6,Bordeaux,,Stade Pierre-Mauroy,Eric Wattellier
14,Sun,13/12/2020,21:00 (20:00),Paris S-G,0.3,0â€“1,0.9,Lyon,,Parc des Princes,Benoît Bastien
15,Wed,16/12/2020,19:00 (18:00),Dijon,0.2,0â€“2,1.1,Lille,, Stade Gaston Gérard,Hakim Ben El Hadj Salem
15,Wed,16/12/2020,19:00 (18:00),Reims,1.6,3â€“2,1.5,Nantes,,Stade Auguste-Delaune II,Karim Abed
15,Wed,16/12/2020,19:00 (18:00),Angers,0.3,0â€“2,0.6,Strasbourg,,Stade Raymond Kopa,Bastien Dechepy
15,Wed,16/12/2020,19:00 (18:00),Montpellier,0.9,0â€“2,1.4,Metz,,Stade de la Mosson,Jérémie Pignard
15,Wed,16/12/2020,19:00 (18:00),Nîmes,0.9,0â€“2,2,Nice,,Stade des Costières,Ruddy Buquet
15,Wed,16/12/2020,21:00 (20:00),Monaco,0.9,0â€“3,1.2,Lens,,Stade Louis II.,Willy Delajod
15,Wed,16/12/2020,21:00 (20:00),Paris S-G,2.5,2â€“0,1.4,Lorient,,Parc des Princes,Johan Hamel
15,Wed,16/12/2020,21:00 (20:00),Rennes,1.5,2â€“1,0.8,Marseille,,Roazhon Park,Clément Turpin
15,Wed,16/12/2020,21:00 (20:00),Bordeaux,0.9,1â€“2,2,Saint-Étienne,,Stade Matmut-Atlantique,Stéphanie Frappart
15,Wed,16/12/2020,21:00 (20:00),Lyon,3.5,2â€“2,1.5,Brest,,Groupama Stadium,Jérôme Brisard
16,Sat,19/12/2020,17:00 (16:00),Metz,1,2â€“0,1.1,Lens,,Stade Saint-Symphorien,Amaury Delerue
16,Sat,19/12/2020,19:00 (18:00),Marseille,2.2,1â€“1,0.2,Reims,,Orange Vélodrome, Thomas Léonard
16,Sat,19/12/2020,21:00 (20:00),Nice,0.9,1â€“4,3.5,Lyon,,Stade de Nice,Antony Gautier
16,Sun,20/12/2020,13:00 (12:00),Brest,1.8,2â€“2,0.6,Montpellier,,Stade Francis-Le Blé, Benoît Millot
16,Sun,20/12/2020,15:00 (14:00),Strasbourg,0.8,0â€“2,0.6,Bordeaux,,Stade de la Meinau,Benoît Bastien
16,Sun,20/12/2020,15:00 (14:00),Saint-Étienne,2.6,2â€“2,1.8,Nîmes,,Stade Geoffroy-Guichard,Mikael Lesage
16,Sun,20/12/2020,15:00 (14:00),Dijon,1.1,0â€“1,1.3,Monaco,, Stade Gaston Gérard,Jeremy Stinat
16,Sun,20/12/2020,15:00 (14:00),Nantes,0.7,1â€“1,1,Angers,,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod
16,Sun,20/12/2020,17:00 (16:00),Lorient,1.3,0â€“3,1.3,Rennes,,Stade Yves Allainmat - Le Moustoir,Eric Wattellier
16,Sun,20/12/2020,21:00 (20:00),Lille,0.6,0â€“0,0.8,Paris S-G,,Stade Pierre-Mauroy, François Letexier
17,Wed,23/12/2020,19:00 (18:00),Lens,2.1,2â€“1,1.4,Brest,,Stade Bollaert-Delelis,Bastien Dechepy
17,Wed,23/12/2020,19:00 (18:00),Bordeaux,1.2,1â€“3,1.4,Reims,,Stade Matmut-Atlantique,Jérôme Brisard
17,Wed,23/12/2020,19:00 (18:00),Rennes,1,1â€“0,1.1,Metz,,Roazhon Park,Florent Batta
17,Wed,23/12/2020,19:00 (18:00),Nîmes,0.9,1â€“3,1.3,Dijon,,Stade des Costières,Jérémie Pignard
17,Wed,23/12/2020,19:00 (18:00),Nice,0.4,2â€“2,2.6,Lorient,,Stade de Nice, Aurélien Petit
17,Wed,23/12/2020,21:00 (20:00),Montpellier,0.9,2â€“3,2,Lille,,Stade de la Mosson,Clément Turpin
17,Wed,23/12/2020,21:00 (20:00),Paris S-G,2.8,4â€“0,0.9,Strasbourg,,Parc des Princes, Jérôme Miguelgorry
17,Wed,23/12/2020,21:00 (20:00),Lyon,3.6,3â€“0,2,Nantes,,Groupama Stadium,Ruddy Buquet
17,Wed,23/12/2020,21:00 (20:00),Monaco,0.8,2â€“2,1.9,Saint-Étienne,,Stade Louis II.,Johan Hamel
17,Wed,23/12/2020,21:00 (20:00),Angers,1,2â€“1,1.3,Marseille,,Stade Raymond Kopa,Hakim Ben El Hadj Salem
18,Wed,06/01/2021,19:00 (18:00),Strasbourg,4.4,5â€“0,1,Nîmes,,Stade de la Meinau, Benoît Millot
18,Wed,06/01/2021,19:00 (18:00),Nantes,1,0â€“0,0.7,Rennes,,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard
18,Wed,06/01/2021,19:00 (18:00),Brest,1.6,2â€“0,1.4,Nice,,Stade Francis-Le Blé,Jeremy Stinat
18,Wed,06/01/2021,19:00 (18:00),Metz,0.7,0â€“0,1,Bordeaux,,Stade Saint-Symphorien,Antony Gautier
18,Wed,06/01/2021,19:00 (18:00),Lorient,0.7,2â€“5,2.2,Monaco,,Stade Yves Allainmat - Le Moustoir,Franck Schneider
18,Wed,06/01/2021,21:00 (20:00),Reims,0.6,0â€“0,0.2,Dijon,,Stade Auguste-Delaune II,Amaury Delerue
18,Wed,06/01/2021,21:00 (20:00),Saint-Étienne,1.2,1â€“1,1.6,Paris S-G,,Stade Geoffroy-Guichard,Karim Abed
18,Wed,06/01/2021,21:00 (20:00),Lille,0.5,1â€“2,0.4,Angers,,Stade Pierre-Mauroy, Thomas Léonard
18,Wed,06/01/2021,21:00 (20:00),Lyon,2.4,3â€“2,0.7,Lens,,Groupama Stadium,Eric Wattellier
