Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
15,Sat,30/11/2019,20:00 (19:00),Reims,1,1â€“1,0.3,Bordeaux,"12,949",Stade Auguste-Delaune II, Jérôme Brisard
15,Sun,01/12/2019,15:00 (14:00),Nantes,2.5,2â€“1,1,Toulouse,"13,751",Stade de la Beaujoire - Louis Fonteneau,Florent Batta
15,Sun,01/12/2019,17:00 (16:00),Rennes,1.3,2â€“1,0.4,Saint-Étienne,"26,738",Roazhon Park,Eric Wattellier
16,Tue,03/12/2019,19:00 (18:00),Brest,2,5â€“0,0.7,Strasbourg,"12,437",Stade Francis-Le Blé, Jérôme Brisard
16,Tue,03/12/2019,19:00 (18:00),Angers,0.5,0â€“2,2.1,Marseille,"12,455",Stade Raymond Kopa,Franck Schneider
16,Tue,03/12/2019,19:00 (18:00),Bordeaux,2.5,6â€“0,0.2,Nîmes,"12,419",Stade Matmut-Atlantique, Clément Turpin
16,Tue,03/12/2019,21:05 (20:05),Lyon,0.8,0â€“1,0.7,Lille,"42,535",Groupama Stadium,Ruddy Buquet
16,Wed,04/12/2019,19:00 (18:00),Saint-Étienne,3.1,4â€“1,1.4,Nice,"20,138",Stade Geoffroy-Guichard, Thomas Léonard
16,Wed,04/12/2019,19:00 (18:00),Dijon,1.5,2â€“2,1.4,Montpellier,"11,926",Stade Gaston Gérard,François Letexier
16,Wed,04/12/2019,19:00 (18:00),Metz,1,0â€“1,0.9,Rennes,"14,214",Stade Saint-Symphorien,Karim Abed
16,Wed,04/12/2019,19:00 (18:00),Toulouse,1.8,1â€“2,3.4,Monaco,"13,030",Stadium Municipal,Willy Delajod
16,Wed,04/12/2019,21:05 (20:05),Paris S-G,2.8,2â€“0,0.4,Nantes,"47,485",Parc des Princes,Amaury Delerue
17,Fri,06/12/2019,19:00 (18:00),Lille,1.9,1â€“0,0.4,Brest,"32,682",Stade Pierre-Mauroy,Eric Wattellier
17,Fri,06/12/2019,20:45 (19:45),Nîmes,0.3,0â€“4,2.8,Lyon,"12,801",Stade des Costières,Olivier Thual
17,Sat,07/12/2019,17:30 (16:30),Montpellier,0.3,1â€“3,1.1,Paris S-G,"20,197",Stade de la Mosson,Antony Gautier
17,Sat,07/12/2019,20:00 (19:00),Strasbourg,2.1,4â€“2,1.4,Toulouse,"23,634",Stade de la Meinau,Johan Hamel
17,Sat,07/12/2019,20:00 (19:00),Monaco,2.2,3â€“0,0.3,Amiens,"4,203",Stade Louis II.,Jeremy Stinat
17,Sat,07/12/2019,20:00 (19:00),Nice,2.1,4â€“1,1.4,Metz,"14,967",Stade de Nice, Jérémie Pignard
17,Sat,07/12/2019,20:00 (19:00),Rennes,1.7,2â€“1,1,Angers,"25,656",Roazhon Park,Amaury Delerue
17,Sun,08/12/2019,15:00 (14:00),Reims,0.9,3â€“1,0.6,Saint-Étienne,"14,512",Stade Auguste-Delaune II,Stéphanie Frappart
17,Sun,08/12/2019,17:00 (16:00),Nantes,1.3,1â€“0,0.3,Dijon,"16,001",Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem
17,Sun,08/12/2019,21:00 (20:00),Marseille,1.5,3â€“1,0.1,Bordeaux,"52,079",Orange Vélodrome,Mikael Lesage
18,Fri,13/12/2019,20:45 (19:45),Lille,1.9,2â€“1,1.4,Montpellier,"30,170",Stade Pierre-Mauroy, Jérôme Brisard
18,Sat,14/12/2019,17:30 (16:30),Metz,1.1,1â€“1,1.2,Marseille,"20,586",Stade Saint-Symphorien,Willy Delajod
18,Sat,14/12/2019,20:00 (19:00),Angers,1.1,0â€“0,0.5,Monaco,"9,959",Stade Raymond Kopa,Hakim Ben El Hadj Salem
18,Sat,14/12/2019,20:00 (19:00),Brest,1.9,0â€“0,0.9,Nice,"13,042",Stade Francis-Le Blé,Franck Schneider
18,Sat,14/12/2019,20:00 (19:00),Toulouse,0.4,0â€“1,1.2,Reims,"12,577",Stadium Municipal, Clément Turpin
18,Sat,14/12/2019,20:00 (19:00),Nîmes,1,0â€“1,1.6,Nantes,"12,098",Stade des Costières,Karim Abed
18,Sat,14/12/2019,20:00 (19:00),Amiens,0.5,1â€“1,0.5,Dijon,"10,530",Stade de la Licorne, Thomas Léonard
